polish,english,example,grammatical_type
Alkohol szkodzi zdrowiu,Alcohol harms health,,
Bawisz się twoim rowerem,You're playing with your bike,,
Bawię się moim samochodem,I'm playing with my car,,
Benek schował się w drzewie,Ben hid in a tree,,
Budujemy waszymi narzędziami,We're building with your tools,,
Chcę mi się spać,I want to sleep,,
Chcę siedzieć między corką i synem,I want to sit between my daughter and my son,,
Chyba po śniadaniu,Probably after breakfast,,
Czekam przed domem,I'm waiting in front of the house,,
Daj im to!,Give them it!,,
Daj jej to!,Give her it!,,
Daj mi to!,Give me it!,,
Daj mu to!,Give him it!,,
Daj nam to!,Give us it!,,
Daję ci to,I'm giving you it,,
Daję wam to,I'm giving you (plural) it,,
Dałem wodę mojemu spragnionemu kotu,I gave water to my thirsty cat,,
Dałem wodę temu chłopakowi,I gave water to this boy,,
Dzieci są w szkole,The children are in school,,
Ich samochód jest w garażu,Their car is in the garage,,
Interesuję się polityką,I'm interested in politics,,
Jadę tym szybkim pociągiem,I'm going by this fast train,,
Jemy naszymi łyżkami,We're eating with our spoons,,
Jemy tymi widelcami,We're eating with these forks,,
Jestem na starym mieście,I'm in the old town,,
Jestem nad morzem,I'm at the seaside,,
Jestem w zepsutej windzie,I'm in a broken lift,,
Jesteśmy na dworcu,We're at the station,,
Jesteśmy w hotelu,We're in the hotel,,
Jesteśmy w ich pokoju,We're in their room,,
Jesteśmy w pociągu,We're on the train,,
Kot śpi pod stołem,The cat's sleeping under the table,,
Krowa je trawę w polu,The cow is eating grass in a field,,
Lecimy nad Warszawą,We're flying above Warsaw,,
Mam czas po poniedziałku,I have time after Monday,,
Mamy szkielet w szafie!,We have a skeleton in the closet!,,
Masz kozy w nosie?,Do you have a snot in your nose?,,
Mieszkamy poza Warszawą,We live outside of Warsaw,,
Mleko jest w lodówce,The milk's in the fridge,,
Musimy rozmawiać o tym nieuczciwym gościu,We have to talk about this dishonest guest,,
Myję się tamtym białym mydłem,I'm washing myself with that white soap,,
Myję się tą czystą wodą,I'm washing myself with this clean water,,
Myślę o twoim gołym ciele!,I'm thinking about your naked body!,,
Myśłę o mojej Ewie,I'm thinking about my Ewa,,
Mówimy o jego szefie,We're speaking about his boss,,
Na tym czerwonym stole,On this red table,,
Na tym samym poziomie,On the same level,,
Nie przeszkadzaj naszemu sąsiadowi,Don't disturb our neighbour,,
Nie siedź na tej zimnej podłodze!,Don't sit on this cold floor!,,
Nie skacz po tatusiu!,Don't jump on Daddy!,,
O brzydkim instytucie,About the ugly institute,,
O jego ogromnej rzepie,About his enormous turnip,,
O mnie,About me,,
O nas,About us,,
O nich,About them,,
O niej,About her,,
O nim,About him,,
O tamtej łzie,About that tear,,
O tamtych drogich krzesłach,About those expensive chairs,,
O tej biednej ofierze,About the poor victim,,
O tej nudnej rzeźbie,About this boring sculpture,,
O tobie,About you,,
O twoich smacznych grzybach,About your tasty mushrooms,,
O tych szybkich rybach,About these fast fish,,
O tym grzybie,About this mushroom,,
O was,About you (plural),,
On jest w drużynie piłkarskiej,He's on the football team,,
Oni pozwalają waszemu dziecku pić kawę!,They allow your child to drink coffee!,,
Pomagam moim młodym uczniom,I'm helping my young students,,
Pomagam naszym młodym osobom,I'm helping our young people,,
Pomagam twoim młodym dzieciom,I'm helping your young children,,
Pomogę twojemu biednemu koniowi,I'll help your poor horse,,
"Poza pracą, nic go nie interesuje","Besides work, he's not interested in anything",,
Pracuje przy jej biurku,She is working at her desk,,
Pracuję pod Krakowem,I work in the suburbs of Kraków,,
Pracuję w biurze,I'm working in the office,,
Pracuję w moim własnym barze,I work in my own bar,,
Przy twoim telefonie,By your telephone,,
Przy twojej mamie,Beside your Mummy,,
Przy waszym obrazie,By your painting,,
Przyjdź do nas przed dziewiątą,Come before nine,,
Rozmawiamy o jej motywie,We're talking about her motive,,
Schował się za drzewem,He hid behind a tree,,
Sikam w toalecie!,I'm pissing in the toilet!,,
Są owoce w misie,There's fruit in the bowl,,
Słyszę coś na dachu!,I hear something on the roof!,,
W drugiej pończosze,In the other stocking,,
"W lecie, jedziemy na wakacje","In summer, we go on holiday",,
W naszym starym samochodzie,In our old car,,
W sklepie,In the shop,,
Z nami,With us,,
Z nim,With him,,
Z nimi,With them,,
Z nią,With her,,
Z tobą,With you,,
Z wami,With you (plural),,
Ze mną,With me,,
absolwent,graduate,,
aby,in order to,,
afera,scandal,,
agitować,to agitate,,
akapit,paragraph,,
aksamitny,velvety,,
aktualizować,to update (repeated),,
aktualny,current/topical,,
akurat,exactly,,
aleja,avenue,,
ambasada,embassy,,
analiza,analysis,,
angażować się,to involve oneself in (repeated),,
ankieta,survey/questionnaire,,
apelować,to appeal (repeated),,
apodyktyczny,domineering/bossy,,
aprobata,approval,,
asortyment,choice/range (of products),,
aspekt dokonany,perfective aspect,,
aspekt niedokonany,imperfective aspect,,
atelier,studio,,
atut,trump/asset/ace,,
autorytet,authority,,
awans,promotion,,
awantura,argument/row,,
awaria,breakdown/crash/failure,,
badacz,researcher,,
badanie,study/test/research,,
badać,to research/investigate (repeated),,
bagażnik,boot/trunk,,
bagno,marsh/swamp/bog,,
bandyci,bandits,,
bandyta,bandit,,
barierka,barrier,,
barwa,colour,,
barwny,colourful,,
bawełna,cotton,,
bać się,"to be scared, to fear",,
beczka,barrel,,
bezawaryjny,failure-free (without breakdown),,
bezczelność,insolence,,
bezdomny,homeless,,
bezdzietny,childless,,
bezinteresowny,selfless/unselfish,,
beznadziejny,hopeless,,
bezokolicznik,infinitive,,
bezowocny,fruitless,,
bezpieczeństwo,security/safety,,
bezpieczny,safe,,
bezrobocie,unemployment,,
bezsilność,helplessness,,
